,Symbol,Security,GICS Sector,text
280,LRCX,Lam Research,Information Technology,"OMICS Publishing Group is a predatory publisher of open access academic journals. It started publishing its first journal in 2008. By 2015, it claimed over 700 journals, although about half of them were defunct.Its subsidiaries include iMedPub LTD and Conference Series LLC LTD. Other organisations linked to OMICS are EuroSciCon Ltd, Allied Academies, Trade Science Inc, and Meetings International."
281,LW,Lamb Weston Holdings Inc,Consumer Staples,"Lamb Weston Holdings, Inc. is an American food processing company that is one of the world's largest producers and processors of frozen french fries and other frozen potato products. It is headquartered in Eagle, Idaho, a suburb of Boise."
282,LVS,Las Vegas Sands,Consumer Discretionary,"Las Vegas Sands Corporation is an American casino and resort company based in Paradise, Nevada, United States. Its resorts feature accommodations, gaming and entertainment, convention and exhibition facilities, restaurants and clubs, as well as an art and science museum in Singapore. It has several resorts in the United States and Asia. Among its properties in the United States are two resorts on the Las Vegas Strip: The Venetian and The Palazzo."
283,LEG,Leggett & Platt,Consumer Discretionary,"Leggett & Platt (L&P), based in Carthage, Missouri, is a diversified manufacturer (and member of the S&P 500 Index) that designs and produces various engineered components and products that can be found in most homes and automobiles. The firm was founded in 1883, and consists of 15 business units, 23,000 employee-partners, and 145 manufacturing facilities located in 18 countries."
284,LDOS,Leidos Holdings,Information Technology,"Leidos, formerly known as Science Applications International Corporation (SAIC), is an American defense, aviation, information technology, and biomedical research company headquartered in Reston, Virginia, that provides scientific, engineering, systems integration, and technical services. Leidos works extensively with the United States Department of Defense (4th largest DoD contractor FY2012), the United States Department of Homeland Security, and the United States Intelligence Community, including the NSA, as well as other U.S. government civil agencies and selected commercial markets."
285,LEN,Lennar Corp.,Consumer Discretionary,"Lennar Corporation is a home construction and real estate company based in Miami, Florida. In 2017 the company was the largest home construction company in the United States after its purchase of CalAtlantic Homes. The company is ranked 154th on the Fortune 500 as of 2019. The company operates in 21 states and owns Rialto Capital Management, the sponsor of six private equity funds that invest in real estate and an originator commercial mortgage loans for securitization. The company also developed and retains ownership interests in 53 apartment communities. The name Lennar is a portmanteau of the first names of two of the company's founders, Leonard Miller and Arnold Rosen."
286,LLY,Lilly (Eli) & Co.,Health Care,"Eli Lilly and Company is an American pharmaceutical company headquartered in Indianapolis, Indiana, with offices in 18 countries. Its products are sold in approximately 125 countries. The company was founded in 1876 by, and named after, Col. Eli Lilly, a pharmaceutical chemist and veteran of the American Civil War. Lilly is currently the largest manufacturer of psychiatric medications and produces Prozac (fluoxetine), Dolophine (methadone), Cymbalta (duloxetine), and Zyprexa (olanzapine). As of 1997, it was the largest corporation and the largest charitable benefactor in Indiana."
287,LNC,Lincoln National,Financials,"Lincoln National Corporation is a Fortune 250 American holding company, which operates multiple insurance and investment management businesses through subsidiary companies. Lincoln Financial Group is the marketing name for LNC and its subsidiary companies. LNC was organized under the laws of the state of Indiana in 1968, and maintains its principal executive offices in Radnor, Pennsylvania. The company traces its roots to its earliest predecessor founded in 1905."
288,LIN,Linde plc,Materials,"Linde plc is an Irish-domiciled multinational chemical company formed by the merger of Linde AG of Germany (founded in 1879) and Praxair of the United States. It is the world's largest industrial gas company by market share as well as revenue. Linde shares are traded in Germany and the United States, and included in those countries' DAX 30 and S&P 500 major stock market indices. The Linde Group has over 600 affiliated companies in more than 100 countries, with customers in the industrial, retail, trade, science, research, and public sectors."
289,LYV,Live Nation Entertainment,Communication Services,"Live Nation Entertainment is an American global entertainment company, founded in 2010, following the merger of Live Nation and Ticketmaster. The company promotes, operates, and manages ticket sales for live entertainment in the United States and internationally. It also owns and operates entertainment venues, and manages the careers of music artists."
290,LKQ,LKQ Corporation,Consumer Discretionary,"LKQ Corporation is an American provider of alternative and specialty parts to repair and accessorize automobiles and other vehicles. LKQ has operations in North America, Europe and Taiwan. LKQ offers its customers a broad range of replacement systems, components, equipment and parts to repair and accessorize automobiles, trucks, and recreational and performance vehicles. As of 2018, it was #300 on the Fortune 500 list. In March of 2017, Dominick P. Zarcone was selected to become the new President and Chief Executive Officer."
291,LMT,Lockheed Martin Corp.,Industrials,"Lockheed Martin Corporation is an American global aerospace, defense, security, and advanced technologies company with worldwide interests. It was formed by the merger of Lockheed Corporation with Martin Marietta in March 1995. It is headquartered in North Bethesda, Maryland, in the Washington, D.C., area. Lockheed Martin employs approximately 110,000 people worldwide as of January 2020."
292,L,Loews Corp.,Financials,"Loews Corporation is an American conglomerate headquartered in New York City. The company's majority-stake holdings include CNA Financial Corporation, Diamond Offshore Drilling, Boardwalk Pipeline Partners, Loews Hotels and Consolidated Container Company."
293,LOW,Lowe's Cos.,Consumer Discretionary,"Lowe's Companies, Inc. (), doing business as Lowe's, is an American retail company specializing in home improvement. Headquartered in Mooresville, North Carolina, the company operates a chain of retail stores in the United States and Canada. As of November 2018, Lowe's and its related businesses operate 2,015 home improvement and hardware stores in North America."
294,LUMN,Lumen Technologies,Communication Services,"Polymer solution casting is a manufacturing process used to make flexible plastic components which are typically in the shape of a single or multi-lumen tube commonly utilized in the medical device industry. This manufacturing technology is unique in that the process does not require conventional extrusion or injection molding technologies, yet it readily incorporates components and features traditionally produced by these processes."
295,LYB,LyondellBasell,Materials,"LyondellBasell Industries N.V. (NYSE: LYB) is a public multinational chemical company with American and European roots, incorporated in the Netherlands, with U.S. operations headquarters in Houston, Texas, and global operations in London, UK. The company is the largest licensor of polyethylene and polypropylene technologies. It also produces ethylene, propylene, polyolefins, and oxyfuels."
296,MTB,M&T Bank,Financials,"Cut Bank is a city in and the county seat of Glacier County, Montana, United States, located just east of the ""cut bank"" (gorge) along Cut Bank Creek. The population was 2,869 at the 2010 census, and the estimated population in 2018 was 3,022."
297,MRO,Marathon Oil Corp.,Energy,"Marathon Oil Corporation, usually simply referred to as Marathon Oil, is an American petroleum and natural gas exploration and production company headquartered in the Marathon Oil Tower in Houston, Texas. Marathon Oil is incorporated in Ohio."
298,MPC,Marathon Petroleum,Energy,"Marathon Petroleum Corporation is an American petroleum refining, marketing, and transportation company headquartered in Findlay, Ohio. The company was a wholly owned subsidiary of Marathon Oil until a corporate spin-off in 2011. Following its acquisition of Andeavor on October 1, 2018, Marathon Petroleum became the largest petroleum refinery operator in the United States, with 16 refineries and over 3 million barrels per day of refining capacity. Marathon Petroleum ranked No. 41 on the 2018 Fortune 500 list of the largest United States corporations by total revenue."
299,MKTX,MarketAxess,Financials,"MarketAxess Holdings Inc. (MarketAxess) is an international financial technology company that operates an electronic trading platform for the institutional credit markets, and also provides market data and post-trade services. It enables institutional investors and broker-dealers to trade credit instruments, including corporate bonds, and other types of fixed income products."
300,MAR,Marriott International,Consumer Discretionary,"Marriott International, Inc. is an American multinational diversified hospitality company that manages and franchises a broad portfolio of hotels and related lodging facilities. Founded by J. Willard Marriott, the company is now led by his son, executive chairman Bill Marriott, and president and chief executive officer Arne Sorenson. Marriott International is the third largest hotel chain in the world. It has 30 brands with 7,003 properties in 131 countries and territories around the world, over 1,332,826 rooms (as of March 31, 2019), including 2,035 that are managed with 559,569 rooms, 4,905 that are franchised or licensed with 756,156 rooms, and 63 that are owned or leased with 17,101 rooms, plus an additional 475,000 rooms in the development pipeline and an additional 25,000 rooms appro"
301,MMC,Marsh & McLennan,Financials,"Marsh & McLennan Companies, Inc. is a global professional services firm, headquartered in New York City with businesses in insurance brokerage, risk management, reinsurance services, talent management, investment advisory, and management consulting. Its four main operating companies are Marsh, Mercer, Oliver Wyman Group, and Guy Carpenter. Marsh & McLennan Companies ranked #212 on the 2018 Fortune 500 ranking, the company's 24th year on the annual Fortune list, and #458 on the 2017 Forbes Global 2000 List."
302,MLM,Martin Marietta Materials,Materials,"Martin Marietta Inc. (NYSE: MLM) is an American-based company and a member of the S&P 500 Index. The company is a supplier of aggregates and heavy building materials, with operations spanning 26 states, Canada and the Caribbean. In particular, Martin Marietta supplies the resources for roads, sidewalks and foundations. Martin Marietta's Magnesia Specialties business provides a full range of magnesium oxide, magnesium hydroxide and dolomitic lime products."
303,MAS,Masco Corp.,Industrials,"Masco Corporation is a manufacturer of products for the home improvement and new home construction markets. Comprising more than 20 companies, the Masco conglomerate operates nearly 60 manufacturing facilities in the United States and over 20 in other parts of the world. Since 1969 it trades on the NYSE. Under the leadership of Richard Manoogian, the company grew exponentially and subsequently joined the Fortune 500 list of largest U.S. corporations."
304,MA,Mastercard Inc.,Information Technology,"Mastercard Incorporated (stylized as MasterCard from 1979 to 2016 and mastercard from 2016) is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York, United States. The Global Operations Headquarters is located in O'Fallon, Missouri, United States, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card issuing banks or credit unions of the purchasers who use the ""Mastercard"" brand debit, credit and prepaid to make purchases. Mastercard Worldwide has been a publicly traded company since 2006. Prior to its initial public offering, Mastercard Worldwide was a cooperative owned by the more than 25,000 "
305,MKC,McCormick & Co.,Consumer Staples,"McCormick & Company is an American food company that manufactures, markets, and distributes spices, seasoning mixes, condiments, and other flavoring products for the industrial, restaurant, institutional, and home markets. A Fortune 1000 company, McCormick has approximately 11,700 employees. The company headquarters moved from Sparks to Hunt Valley, Maryland in the third quarter of 2018."
306,MXIM,Maxim Integrated Products,Information Technology,"Maxim Integrated is an American, publicly traded company that designs, manufactures, and sells analog and mixed-signal integrated circuits. Maxim Integrated develops integrated circuits (ICs) for the automotive, industrial, communications, consumer, and computing markets. The company is headquartered in San Jose, California, and has design centers, manufacturing facilities, and sales offices throughout the world. In the fiscal year 2019, it had US$2.31 billion in sales, 7131 employees, and 35,000 customers worldwide. Maxim is a Fortune 1000 company and its stock is a component of the NASDAQ-100 stock market index. In December 2018, Maxim was re-added to the S&P 500."
307,MCD,McDonald's Corp.,Consumer Discretionary,"McDonald's Corporation is an American fast food company, founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States. They rechristened their business as a hamburger stand, and later turned the company into a franchise, with the Golden Arches logo being introduced in 1953 at a location in Phoenix, Arizona. In 1955, Ray Kroc, a businessman, joined the company as a franchise agent and proceeded to purchase the chain from the McDonald brothers. McDonald's had its original headquarters in Oak Brook, Illinois, but moved its global headquarters to Chicago in early 2018."
308,MCK,McKesson Corp.,Health Care,"McKesson Corporation is an American company distributing pharmaceuticals and providing health information technology, medical supplies, and care management tools. The company had revenues of $208.4 billion in 2018. McKesson is based in Irving, Texas and distributes health care systems, medical supplies and pharmaceutical products. Additionally, McKesson provides extensive network infrastructure for the health care industry; also, it was an early adopter of technologies like bar-code scanning for distribution, pharmacy robotics, and RFID tags."
309,MDT,Medtronic plc,Health Care,"Medtronic plc is a medical device company that generates the majority of its sales and profits from the U.S. healthcare system but is headquartered in the Republic of Ireland for tax purposes. Medtronic has an operational and executive headquarters in Fridley, Minnesota in the U.S. In 2015, Medtronic acquired Irish–tax registered Covidien (a U.S. tax inversion to Ireland from 2007), in the largest U.S. corporate tax inversion in history, which enabled Medtronic to move its legal registration from the U.S. to Ireland. Medtronic operates in 140 countries and employs over 86,000 people."
310,MRK,Merck & Co.,Health Care,"Merck & Co., Inc., d.b.a. Merck Sharp & Dohme (MSD) outside the United States and Canada, is an American multinational pharmaceutical company and one of the largest pharmaceutical companies in the world. Merck is incorporated in New Jersey."
311,MET,MetLife Inc.,Financials,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries. The firm was founded on March 24, 1868. MetLife ranked No. 43 in the 2018 Fortune 500 list of the largest United States corporations by total revenue."
312,MTD,Mettler Toledo,Health Care,"Mettler Toledo (NYSE: MTD) is a multinational manufacturer of scales and analytical instruments. It is the largest provider of weighing instruments for use in laboratory, industrial, and food retailing applications. The company also provides various analytical instruments, process analytics instruments, and end-of-line inspection systems. The company operates worldwide with 70% of net sales, derived in equal parts, from Europe and from the Americas. Asian business is included in the remaining 30%."
313,MGM,MGM Resorts International,Consumer Discretionary,"MGM Resorts International is an American global hospitality and entertainment company operating destination resorts in Las Vegas, Detroit, Mississippi, Maryland, and New Jersey, including Bellagio, Mandalay Bay, MGM Grand, and Park MGM. In January 2019 the company took over Empire City Casino in Yonkers, NY and also recently opened MGM National Harbor in Maryland and MGM Springfield in Massachusetts. It has a majority interest in MGM China Holdings Limited, which owns the MGM Macau resort and casino, and is developing a gaming resort in Cotai. MGM Resorts owns 50 percent of CityCenter in Las Vegas, which features Aria Resort & Casino. It has a majority controlling interest in MGM Growth Properties, a real estate investment trust."
314,MCHP,Microchip Technology,Information Technology,"Microchip Technology Inc. is an American publicly-listed corporation that is a manufacturer of microcontroller, mixed-signal, analog and Flash-IP integrated circuits. Its products include microcontrollers (PIC, dsPIC, AVR and SAM), Serial EEPROM devices, Serial SRAM devices, embedded security devices, radio frequency (RF) devices, thermal, power and battery management analog devices, as well as linear, interface and wireless solutions.Examples of these solutions include USB, zigbee, MiWi, LoRa, SIGFOX and Ethernet."
315,MU,Micron Technology,Information Technology,"Micron Technology, Inc. is an American producer of computer memory and computer data storage including dynamic random-access memory, flash memory, and USB flash drives. It is headquartered in Boise, Idaho. Its consumer products are marketed under the brands Crucial and Ballistix. Micron and Intel together created IM Flash Technologies, which produces NAND flash memory. It owned Lexar between 2006 and 2017."
316,MSFT,Microsoft Corp.,Information Technology,"Microsoft Corporation is an American multinational technology company with headquarters in Redmond, Washington. It develops, manufactures, licenses, supports, and sells computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. In 2016, it was the world's largest software maker by revenue (currently Alphabet/Google has more revenue). The word ""Microsoft"" is a portmanteau of ""microcomputer"" and ""software"". Microsoft is ranked No. 30 in the 2018 Fortune 500 rankings of the large"
317,MAA,Mid-America Apartments,Real Estate,"Mid-America Apartment Communities is a publicly traded real estate investment trust based in Memphis, Tennessee that invests in apartments in the Southeastern United States and the Southwestern United States. As of December 31, 2017, the company owned 302 apartment communities containing 99,523 apartment units and 4 office buildings containing 231,821 square feet. The company is the largest publicly traded apartment real estate trust in the United States."
318,MHK,Mohawk Industries,Consumer Discretionary,"Mohawk Industries is an American flooring manufacturer based in Calhoun, Georgia, United States. Mohawk produces floor covering products for residential and commercial applications in North America and residential applications in Europe. The company manufacturing portfolio consists of soft flooring products (carpet and rugs), hard flooring products (ceramic tile, natural stone and hardwood flooring), laminate flooring, sheet vinyl and luxury vinyl tile. The company employs 37,800 in operations in Australia, Brazil, Canada, Europe, India, Malaysia, Mexico, New Zealand, Russia and the United States."
319,TAP,Molson Coors Beverage Company,Consumer Staples,
320,MDLZ,Mondelez International,Consumer Staples,"Mondelēz International, Inc. (), is an American multinational confectionery, food, holding and beverage company based in Deerfield, Illinois which employs approximately 83,000 individuals around the world. It consists of the global snack and food brands of Kraft Foods Inc. after the October 2012 spin-off of its North American grocery-foods products. The Mondelez name, often stylized as Mondelēz, is a nonsense word adopted in 2012 that was suggested by Kraft Foods employees, and is derived from the Latin word mundus (""world"") and delez, a fanciful modification of the word ""delicious""."
321,MPWR,Monolithic Power Systems,Information Technology,"Monolithic Power Systems, Inc. (NASDAQ: MPWR ) is based in Kirkland, Washington and operates in more 15+ locations worldwide. Monolithic Power Systems (MPS) provides power circuits for systems found in, cloud computing, telecom infrastructures, automotive, industrial applications and consumer applications."
322,MNST,Monster Beverage,Consumer Staples,"Monster Beverage Corporation is an American beverage company that manufactures energy drinks including Monster Energy, Relentless and Burn. The company was originally founded as Hansen's in 1935 in Southern California, originally selling juice products. The company renamed itself as Monster Beverage in 2012, and then sold their Hansen's juices and sodas and their other non-energy drink brands to The Coca-Cola Company in 2015. As of May 2012, Monster held nearly 35% of the $31.9 billion US energy drink market."
323,MCO,Moody's Corp,Financials,"Moody's Corporation, often referred to as Moody's, is an American business and financial services company. It is the holding company for Moody's Investors Service (MIS), an American credit rating agency, and Moody's Analytics (MA), an American provider of financial analysis software and services."
324,MS,Morgan Stanley,Financials,"Morgan Stanley is an American multinational investment bank and financial services company headquartered at 1585 Broadway in the Morgan Stanley Building, Midtown Manhattan, New York City. With offices in more than 42 countries and more than 60,000 employees, the firm's clients include corporations, governments, institutions, and individuals. Morgan Stanley ranked No. 67 in the 2018 Fortune 500 list of the largest United States corporations by total revenue."
325,MOS,The Mosaic Company,Materials,"The Mosaic Company is a Fortune 500 company based in Tampa, Florida which mines phosphate and potash, and is the largest U.S. producer of potash and phosphate fertilizer."
326,MSI,Motorola Solutions Inc.,Information Technology,"Motorola, Inc. () was an American multinational telecommunications company founded on September 25, 1928, based in Schaumburg, Illinois. After having lost $4.3 billion from 2007 to 2009, the company was divided into two independent public companies, Motorola Mobility and Motorola Solutions on January 4, 2011. Motorola Solutions is generally considered to be the direct successor to Motorola, as the reorganization was structured with Motorola Mobility being spun off. Motorola Mobility was sold to Google in 2012, and acquired by Lenovo in 2014."
327,MSCI,MSCI Inc,Financials,"MSCI Inc. (formerly Morgan Stanley Capital International and MSCI Barra), is an American finance company headquartered in New York City and serving as a global provider of equity, fixed income, hedge fund stock market indexes, and multi-asset portfolio analysis tools. It publishes the MSCI BRIC, MSCI World and MSCI EAFE Indexes. The company is currently headquartered at 7 World Trade Center in Manhattan, New York City, U.S."
328,NDAQ,"Nasdaq, Inc.",Financials,"Netflix, Inc. () is an American media-services provider and production company headquartered in Los Gatos, California, founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California. The company's primary business is its subscription-based streaming service which offers online streaming of a library of films and television programs, including those produced in-house. As of April 2019, Netflix had over 148 million paid subscriptions worldwide, including 60 million in the United States, and over 154 million subscriptions total including free trials. It is available worldwide except in mainland China (due to local restrictions), Syria, North Korea, and Crimea (due to U.S. sanctions). The company also has offices in the Netherlands, Brazil, India, Japan, and South Korea. Netfl"
329,NTAP,NetApp,Information Technology,"NetApp, Inc. is a hybrid cloud data services and data management company headquartered in Sunnyvale, California. It has ranked in the Fortune 500 since 2012. Founded in 1992 with an IPO in 1995, NetApp offers hybrid cloud data services for management of applications and data across cloud and on-premises environments."
330,NFLX,Netflix Inc.,Communication Services,"Netflix, Inc. () is an American media-services provider and production company headquartered in Los Gatos, California, founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California. The company's primary business is its subscription-based streaming service which offers online streaming of a library of films and television programs, including those produced in-house. As of April 2019, Netflix had over 148 million paid subscriptions worldwide, including 60 million in the United States, and over 154 million subscriptions total including free trials. It is available worldwide except in mainland China (due to local restrictions), Syria, North Korea, and Crimea (due to U.S. sanctions). The company also has offices in the Netherlands, Brazil, India, Japan, and South Korea. Netfl"
331,NWL,Newell Brands,Consumer Discretionary,"Newell Brands is an American worldwide manufacturer, marketer and distributor of consumer and commercial products with a portfolio of brands including Rubbermaid storage and trash containers, home organization and reusable container products; Contigo and Bubba water bottles; Coleman outdoor products; writing instruments (Berol, Expo Markers, PaperMate, Dymo, Mr. Sketch, Parker Pens, Sharpie, Reynolds, Prismacolor, Rotring, X-acto, Waterman), glue (Elmer's, Krazy Glue); children's products (Aprica, Nuk, Tigex, Babysun, Baby Jogger and Graco); First Alert alarm systems; Calphalon cookware and kitchen electrics; Sunbeam, Rival, Crock-Pot, Holmes, FoodSaver, Oster, Osterizer, and Mr. Coffee small kitchen appliances; as well as Yankee Candle, Chesapeake Bay Candle, Millefiori Milano, and WoodWi"
332,NEM,Newmont Corporation,Materials,"Newmont Corporation, based in Greenwood Village, Colorado, USA, is the world's largest gold mining company. Incorporated in 1921, it has ownership of gold mines in Nevada, Colorado, Ontario, Quebec, Mexico, the Dominican Republic, Australia, Ghana, Argentina, Peru, and Suriname. In addition to gold, Newmont mines copper, silver, zinc and lead. Newmont has approximately 24,000 employees and contractors worldwide, and is the only gold company in the Standard & Poor's 500."
333,NWSA,News Corp (Class A),Communication Services,"The current incarnation of News Corp is an American mass media and publishing company, formed as a spin-off of the original News Corporation (as founded by Rupert Murdoch in 1980) focusing on newspapers and publishing. Its notable assets include Dow Jones & Company (publisher of The Wall Street Journal), News UK (publisher of The Sun and The Times), News Corp Australia, Realtor.com as well as book publisher HarperCollins."
334,NWS,News Corp (Class B),Communication Services,"The current incarnation of News Corp is an American mass media and publishing company, formed as a spin-off of the original News Corporation (as founded by Rupert Murdoch in 1980) focusing on newspapers and publishing. Its notable assets include Dow Jones & Company (publisher of The Wall Street Journal), News UK (publisher of The Sun and The Times), News Corp Australia, Realtor.com as well as book publisher HarperCollins."
335,NEE,NextEra Energy,Utilities,"NextEra Energy, Inc. is a Fortune 200 energy company with about 45,900 megawatts of generating capacity, revenues of over $17 billion in 2017, and about 14,000 employees throughout the United States and Canada. It is the largest electric utility holding company by market capitalization. Its subsidiaries include Florida Power & Light, NextEra Energy Resources, NextEra Energy Partners, Gulf Power Company, and NextEra Energy Services. FPL, the largest of the subsidiaries, delivers rate-regulated electricity to approximately 5 million customer accounts, or an estimated 10 million people, across nearly half of Florida and is the third largest electric utility company in the United States. NEER, together with its affiliated entities, is the world's largest generator of renewable energy from the "
336,NLSN,Nielsen Holdings,Industrials,"Nielsen Holdings Plc (formerly known as Nielsen N.V.) is an American information, data and measurement firm. Nielsen operates in over 100 countries and employs approximately 44,000 people worldwide. Total revenues were $6.2 billion in 2016. The company is listed on the New York Stock Exchange (NYSE) and is currently a component of the S&P 500. In 2018, American Marketing Association ranked Nielsen number 1 among the top 50 Market Research Firms in the United States."
337,NKE,"Nike, Inc.",Consumer Discretionary,"Nike, Inc. () is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services. The company is headquartered near Beaverton, Oregon, in the Portland metropolitan area. It is the world's largest supplier of athletic shoes and apparel and a major manufacturer of sports equipment, with revenue in excess of US$24.1 billion in its fiscal year 2012 (ending May 31, 2012). As of 2012, it employed more than 44,000 people worldwide. In 2014 the brand alone was valued at $19 billion, making it the most valuable brand among sports businesses. As of 2017, the Nike brand is valued at $29.6 billion. Nike ranked No. 89 in the 2018 Fortune 500 list of the largest United States cor"
338,NI,NiSource Inc.,Utilities,"NiSource Inc. is one of the largest fully regulated utility companies in the United States, serving approximately 3.5 million natural gas customers and 500,000 electric customers across seven states through its local Columbia Gas and NIPSCO brands. The company, based in Merrillville, Indiana, United States, has more than 8,000 employees."
339,NSC,Norfolk Southern Corp.,Industrials,"The Norfolk Southern Railway (reporting mark NS) is a Class I freight railroad in the United States. With headquarters in Atlanta, Georgia, the company operates 19,420 miles (31,250 km) route miles in 22 eastern states, the District of Columbia, and has rights in Canada over the Albany to Montréal route of the Canadian Pacific Railway, and previously on CN from Buffalo to St. Thomas. NS is responsible for maintaining 28,400 miles (45,700 km), with the remainder being operated under trackage rights from other parties responsible for maintenance. The most common commodity hauled on the railway is coal from mines in Indiana, Kentucky, Pennsylvania, Tennessee, Virginia, and West Virginia. The railway also offers the largest intermodal network in eastern North America."
340,NTRS,Northern Trust Corp.,Financials,"Northern Trust Corporation is a financial services company headquartered in Chicago, Illinois that caters to corporations, institutional investors, and ultra high net worth individuals. It is one of the largest banks in the United States and one of the oldest banks in continuous operation. As of December 31, 2018, it had $1.07 trillion in assets under management and $10.13 trillion in assets under custody. Northern Trust Corporation is incorporated in Delaware."
341,NOC,Northrop Grumman,Industrials,"Northrop Grumman Corporation (NYSE: NOC) is an American global aerospace and defense technology company. With over 85,000 employees and an annual revenue in excess of $30 billion, it is one of the world's largest weapons manufacturers and military technology providers. The firm ranks No. 108 on the 2020 Fortune 500 list of America's largest corporations."
342,NLOK,NortonLifeLock,Information Technology,"NortonLifeLock Inc. (formerly known as Symantec ) is an American software company headquartered in Tempe, Arizona, United States. The company provides cybersecurity software and services. NortonLifeLock is a Fortune 500 company and a member of the S&P 500 stock-market index. The company also has development centers in Pune, Chennai and Bangalore. The name ""Symantec"" is a portmanteau of the words ""syntax"" and ""semantics"" with ""technology""."
343,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Norwegian Cruise Line Holdings (NCLH) is a holding company that is domiciled in Bermuda and based in the United States. It operates three cruise lines as wholly owned subsidiaries: Norwegian Cruise Line, Oceania Cruises, and Regent Seven Seas Cruises. With its subsidiaries combined, it is the third-largest cruise operator in the world. It is a publicly traded company listed on the New York Stock Exchange."
344,NOV,NOV Inc.,Energy,
345,NRG,NRG Energy,Utilities,"Hi-NRG (pronounced ""high energy"") is a genre of uptempo disco or electronic dance music (EDM) that originated in the United States during the late 1970s and early 1980s. As a music genre, typified by a fast tempo, staccato hi-hat rhythms (and the four-on-the-floor pattern), reverberated ""intense"" vocals and ""pulsating"" octave basslines, it was particularly influential on the disco scene. Its earliest association was with Italo disco."
346,NUE,Nucor Corp.,Materials,"Nucor Corporation is an American producer of steel and related products headquartered in Charlotte, North Carolina. It is the largest steel producer in the United States, and is the largest ""mini-mill"" steelmaker (i.e. it uses electric arc furnaces to melt scrap steel as opposed to blast furnaces to melt iron). Nucor is North America's largest recycler of any material; it recycled 16.9 million tons of scrap in 2015."
347,NVDA,Nvidia Corporation,Information Technology,"Nvidia Corporation ( en-VID-ee-ə), more commonly referred to as Nvidia (stylized as NVIDIA, on-logo styling nVIDIA with small ""n"" same size as ""VIDIA""; formerly stylized as nVidia on products from the mid 90s to early-mid 2000s), is an American technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market. Its primary GPU product line, labeled ""GeForce"", is in direct competition with Advanced Micro Devices' (AMD) ""Radeon"" products. Nvidia expanded its presence in the gaming industry with its handheld Shield Portable, Shield Tablet, and Shield Android TV."
348,NVR,"NVR, Inc.",Consumer Discretionary,"NVR, Inc. is a company engaged in home construction. It also operates a mortgage banking and title services business. The company primarily operates on the East Coast of the United States. In 2018, 23% of home settlements occurred in the Washington metropolitan area and 8% of home settlements occurred in the Baltimore metropolitan area. The company operates under the Ryan Homes, NVHomes and Heartland Homes brands. The company typically does not engage in land development; it acquires finished land lots that are ready for building, which mitigates risk. NVR currently constructs homes in 14 states and 32 metropolitan areas."
349,ORLY,O'Reilly Automotive,Consumer Discretionary,"O’Reilly Auto Parts is an American auto parts retailer that provides automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States serving both the professional service providers and do-it-yourself customers. Founded in 1957 by the O’Reilly family, the company operates more than 5,200 stores in 47 states."
350,OXY,Occidental Petroleum,Energy,"Occidental Petroleum Corporation (often abbreviated Oxy in reference to its ticker symbol) is an American company engaged in hydrocarbon exploration in the United States, the Middle East, and Colombia as well as petrochemical manufacturing in the United States, Canada, and Chile. It is organized in Delaware and headquartered in Houston. The company is ranked 722nd on the Forbes Global 2000 and 220th on the Fortune 500. In 2018, the company was the 9th largest petroleum producer in Texas."
351,ODFL,Old Dominion Freight Line,Industrials,"Old Dominion Freight Line, Inc. is an American less than truckload shipping company. It offers regional, inter-regional and national LTL service. In addition to its core LTL services, the company offers logistics services including ground and air expedited transportation, supply chain consulting, transportation management, truckload brokerage, container delivery and warehousing, as well as household moving services. It contracts with freight forwarding services worldwide. The company operates more than 5,800 tractors and more than 22,500 trailers."
352,OMC,Omnicom Group,Communication Services,"Omnicom Group Inc. is an American global media, marketing and corporate communications holding company, headquartered in New York City. Omnicom's branded networks and specialty firms provide services in four disciplines: advertising, customer relationship management (CRM), public relations and specialty services. The services included in these disciplines are media planning and buying, digital and interactive marketing, sports and events marketing, field marketing and brand consultancy. Omnicom Group was ranked as one of the four largest advertising agencies in the world by The New York Times in 2002. In 2014, Omnicom was considered the second largest advertising holding company by The Wall Street Journal. The company employs more than 77,000 employees in over 100 countries worldwide."
